date,drive_count,drive_failures
2020-08-22,148523,3
2020-08-23,148584,4
2020-08-24,148562,6
2020-08-25,148660,5
2020-08-26,148911,5
2020-08-27,149032,2
2020-08-28,148972,1
2020-08-29,148607,4
2020-08-30,148544,2
2020-08-31,148542,3
2020-09-01,149767,4
2020-09-02,149767,7
2020-09-03,150009,3
2020-09-04,149951,1
2020-09-05,149920,0
2020-09-06,149887,2
2020-09-07,149887,5
2020-09-08,149821,8
2020-09-09,150010,6
2020-09-10,150102,6
2020-09-11,150283,3
2020-09-12,150172,4
2020-09-13,149939,0
2020-09-14,151160,8
2020-09-15,151167,5
2020-09-16,150926,3
2020-09-17,150804,3
2020-09-18,150843,2
2020-09-19,152024,8
2020-09-20,152022,2
2020-09-21,152021,2
2020-09-22,152176,7
2020-09-23,152362,10
2020-09-24,152323,5
2020-09-25,152385,2
2020-09-26,153726,3
2020-09-27,153725,3
2020-09-28,153703,3
2020-09-29,153725,3
2020-09-30,153727,0
2020-10-01,153725,5
2020-10-02,153722,4
2020-10-03,153719,3
2020-10-04,153719,2
2020-10-05,153717,7
2020-10-06,153967,3
2020-10-07,155250,4
2020-10-08,154578,7
2020-10-09,154274,3
2020-10-10,154213,2
2020-10-11,154211,7
2020-10-12,154204,1
2020-10-13,154391,3
2020-10-14,154653,5
2020-10-15,155131,5
2020-10-16,155070,3
2020-10-17,154949,3
2020-10-18,154888,3
2020-10-19,154825,3
2020-10-20,154887,8
2020-10-21,154522,4
2020-10-22,154158,4
2020-10-23,154279,3
2020-10-24,154338,1
2020-10-25,154338,5
2020-10-26,154335,10
2020-10-27,154946,4
2020-10-28,156344,8
2020-10-29,156702,4
2020-10-30,156433,6
2020-10-31,156179,5
2020-11-01,156097,3
2020-11-02,156097,2
2020-11-03,156222,9
2020-11-04,156340,7
2020-11-05,156766,5
2020-11-06,156929,0
2020-11-07,156927,4
2020-11-08,156889,6
2020-11-09,156886,8
2020-11-10,157125,5
2020-11-11,157987,7
2020-11-12,157498,3
2020-11-13,158415,3
2020-11-14,159575,0
2020-11-15,159514,3
2020-11-16,159497,6
2020-11-17,159758,4
2020-11-18,160123,3
2020-11-19,160125,9
2020-11-20,158904,9
2020-11-21,159082,2
2020-11-22,159085,4
2020-11-23,159020,10
2020-11-24,161509,8
2020-11-25,161712,6
2020-11-26,161692,0
2020-11-27,161672,1
2020-11-28,161692,5
2020-11-29,161631,5
2020-11-30,161565,3
2020-12-01,162190,4
2020-12-02,162249,10
2020-12-03,162033,6
2020-12-04,161819,5
2020-12-05,161755,0
2020-12-06,161819,1
2020-12-07,161819,2
2020-12-08,162008,8
2020-12-09,161675,5
2020-12-10,162821,4
2020-12-11,162910,5
2020-12-12,162684,2
2020-12-13,162625,2
2020-12-14,162624,5
2020-12-15,164009,10
2020-12-16,164090,1
2020-12-17,164152,5
2020-12-18,164274,8
2020-12-19,164452,2
2020-12-20,164452,4
2020-12-21,164390,7
2020-12-22,164457,2
2020-12-23,164457,3
2020-12-24,164997,7
2020-12-25,164995,4
2020-12-26,164991,4
2020-12-27,164994,3
2020-12-28,164941,3
2020-12-29,164993,3
2020-12-30,164929,4
2020-12-31,165530,0
2021-01-01,165512,4
2021-01-02,165457,3
2021-01-03,165503,2
2021-01-04,165504,10
2021-01-05,165533,5
2021-01-06,165289,3
2021-01-07,164922,4
2021-01-08,165098,10
2021-01-09,165065,4
2021-01-10,165035,3
2021-01-11,165088,8
2021-01-12,165202,7
2021-01-13,165186,7
2021-01-14,165636,6
2021-01-15,165576,5
2021-01-16,166116,2
2021-01-17,166035,3
2021-01-18,166035,1
2021-01-19,166049,4
2021-01-20,166364,9
2021-01-21,166362,5
2021-01-22,167338,3
2021-01-23,167032,2
2021-01-24,167031,6
2021-01-25,167032,5
2021-01-26,167156,4
2021-01-27,167402,1
2021-01-28,167518,4
2021-01-29,168796,7
2021-01-30,170011,2
2021-01-31,169740,2
2021-02-01,169740,6
2021-02-02,169834,2
2021-02-03,169956,9
2021-02-04,170044,11
2021-02-05,169984,1
2021-02-06,169977,6
2021-02-07,169917,5
2021-02-08,169854,8
2021-02-09,170157,5
2021-02-10,170161,5
2021-02-11,170235,2
2021-02-12,170107,3
2021-02-13,169804,3
2021-02-14,169564,2
2021-02-15,169502,7
2021-02-16,169374,5
2021-02-17,169743,5
2021-02-18,172339,2
2021-02-19,172373,5
2021-02-20,172433,6
2021-02-21,172066,4
2021-02-22,172123,4
2021-02-23,172249,5
2021-02-24,171882,5
2021-02-25,171941,5
2021-02-26,171274,5
2021-02-27,171183,4
2021-02-28,170929,4
2021-03-01,170936,1
2021-03-02,171303,7
2021-03-03,171547,4
2021-03-04,171423,6
2021-03-05,171097,2
2021-03-06,170869,3
2021-03-07,170872,3
2021-03-08,170796,3
2021-03-09,171119,3
2021-03-10,171240,7
2021-03-11,172645,10
2021-03-12,172403,5
2021-03-13,172157,4
2021-03-14,171791,0
2021-03-15,171425,3
2021-03-16,172198,3
2021-03-17,172341,4
2021-03-18,172401,6
2021-03-19,172527,8
2021-03-20,172338,4
2021-03-21,171854,4
2021-03-22,171912,5
2021-03-23,174100,3
2021-03-24,175383,3
2021-03-25,175381,5
2021-03-26,175502,3
2021-03-27,175139,6
2021-03-28,174893,2
2021-03-29,174894,5
2021-03-30,175075,2
2021-03-31,175443,0
2021-04-01,175626,8
2021-04-02,175505,3
2021-04-03,175319,4
2021-04-04,175259,4
2021-04-05,175257,8
2021-04-06,175622,7
2021-04-07,175501,3
2021-04-08,175320,12
2021-04-09,175136,2
2021-04-10,175200,8
2021-04-11,175046,1
2021-04-12,175077,3
2021-04-13,175383,1
2021-04-14,175446,7
2021-04-15,175567,10
2021-04-16,175384,9
2021-04-17,176720,4
2021-04-18,176382,3
2021-04-19,176442,6
2021-04-20,176665,5
2021-04-21,176665,2
2021-04-22,176665,11
2021-04-23,176842,8
2021-04-24,176675,2
2021-04-25,176355,9
2021-04-26,176350,6
2021-04-27,176598,4
2021-04-28,176540,7
2021-04-29,176781,5
2021-04-30,176720,6
2021-05-01,176780,6
2021-05-02,176473,5
2021-05-03,176414,4
2021-05-04,176660,5
2021-05-05,176723,6
2021-05-06,176756,5
2021-05-07,176539,2
2021-05-08,176537,5
2021-05-09,176601,2
2021-05-10,176600,9
2021-05-11,176837,6
2021-05-12,177023,7
2021-05-13,177144,8
2021-05-14,176721,5
2021-05-15,176600,6
2021-05-16,176418,6
2021-05-17,176359,13
2021-05-18,176601,6
2021-05-19,176723,8
2021-05-20,176782,6
2021-05-21,178249,4
2021-05-22,178129,6
2021-05-23,174042,3
2021-05-24,177756,5
2021-05-25,178122,7
2021-05-26,178006,11
2021-05-27,179407,4
2021-05-28,179561,3
2021-05-29,180750,2
2021-05-30,180386,6
2021-05-31,180322,4
2021-06-01,180256,5
2021-06-02,181046,7
2021-06-03,181044,10
2021-06-04,181169,4
2021-06-05,180981,7
2021-06-06,180982,5
2021-06-07,180982,6
2021-06-08,181289,6
2021-06-09,181290,10
2021-06-10,181197,5
2021-06-11,180985,8
2021-06-12,180743,5
2021-06-13,180594,0
2021-06-14,180594,5
2021-06-15,182117,6
2021-06-16,182205,4
2021-06-17,182207,7
2021-06-18,182359,7
2021-06-19,182390,8
2021-06-20,182266,0
2021-06-21,182248,9
2021-06-22,182305,2
2021-06-23,182449,9
2021-06-24,182692,4
2021-06-25,182692,5
2021-06-26,182573,8
2021-06-27,182381,2
2021-06-28,182391,9
2021-06-29,182387,1
2021-06-30,181609,0
2021-07-01,182264,0
2021-07-02,182264,4
2021-07-03,182261,8
2021-07-04,182259,3
2021-07-05,182212,4
2021-07-06,182215,10
2021-07-07,182338,7
2021-07-08,182463,6
2021-07-09,182707,9
2021-07-10,182767,6
2021-07-11,182584,7
2021-07-12,182525,9
2021-07-13,182465,10
2021-07-14,182390,7
2021-07-15,182404,7
2021-07-16,182573,10
2021-07-17,182634,4
2021-07-18,182513,6
2021-07-19,182513,5
2021-07-20,183792,13
2021-07-21,185073,1
2021-07-22,185493,6
2021-07-23,185554,2
2021-07-24,185372,7
2021-07-25,185356,6
